item a,item b,selection,reaction time
1,3,Keep,0.98000
5,1,Share,1.30000
2,2,Keep,1.74000
3,5,Share,7.96000
0,4,Share,4.88000
4,0,Keep,2.74000
item a,item b,selection,reaction time
1,4,Keep,1.6400
2,5,Share,7.6000
4,3,Share,3.4800
3,0,Keep,2.7000
0,1,Share,8.9000
5,2,Share,1.7600
item a,item b,selection,reaction time
